editPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,webLinkTimes,stuck,,Max,Min,Interval,Increments,Total Count,
0,0,0,0,0,0,NO,,96.610169,0,4.83050845,4.83050845,3,3
0,0,0,0,0,0,NO,,,,,9.6610169,3,0
0,0,0,0,0,0,NO,,,,,14.49152535,3,0
30.434783,0,2.173913,54.347826,13.043478,0,NO,,,,,19.3220338,6,3
74.358974,0,0,0,25.641026,16,NO,,,,,24.15254225,8,2
34.693878,0,4.081633,57.142857,4.081633,0,NO,,,,,28.9830507,10,2
34.693878,44.897959,2.040816,16.326531,2.040816,0,NO,,,,,33.81355915,16,6
31.914894,55.319149,0,12.765957,0,0,NO,,,,,38.6440676,23,7
53.061224,34.693878,0,8.163265,4.081633,0,NO,,,,,43.47457605,24,1
30.769231,61.538462,0,5.769231,1.923077,0,NO,,,,,48.3050845,29,5
33.928571,53.571429,1.785714,10.714286,0,0,NO,,,,,53.13559295,36,7
54.545455,40.909091,0,0,4.545455,0,NO,,,,,57.9661014,38,2
51.219512,34.146341,0,0,14.634146,0,NO,,,,,62.79660985,38,0
46.428571,48.214286,0,0,5.357143,0,NO,,,,,67.6271183,39,1
50,33.333333,10.416667,4.166667,2.083333,0,NO,,,,,72.45762675,39,0
39.215686,58.823529,0,0,1.960784,0,NO,,,,,77.2881352,40,1
56,38,0,0,6,0,NO,,,,,82.11864365,40,0
29.090909,67.272727,0,0,3.636364,0,NO,,,,,86.9491521,40,0
48.076923,51.923077,0,0,0,0,NO,,,,,91.77966055,40,0
63.265306,36.734694,0,0,0,0,NO,,,,,96.610169,40,0
28.846154,55.769231,0,11.538462,3.846154,2,NO,,,,,,,
16.666667,69.047619,0,14.285714,0,0,NO,,,,,,,
34.615385,65.384615,0,0,0,0,NO,,,,,,,
30.612245,53.061224,0,12.244898,4.081633,0,NO,,,,,,,
35.555556,55.555556,0,0,8.888889,0,NO,,,,,,,
32,66,2,0,0,0,NO,,,,,,,
47.169811,52.830189,0,0,0,0,NO,,,,,,,
45.454545,47.727273,6.818182,0,0,0,NO,,,,,,,
34.693878,42.857143,2.040816,20.408163,0,0,NO,,,,,,,
22.857143,40,11.428571,22.857143,2.857143,0,NO,,,,,,,
50,29.545455,6.818182,9.090909,4.545455,0,NO,,,,,,,
51.111111,40,4.444444,0,4.444444,0,NO,,,,,,,
34.782609,45.652174,0,17.391304,2.173913,0,NO,,,,,,,
21.276596,65.957447,4.255319,8.510638,0,0,NO,,,,,,,
15.686275,78.431373,1.960784,3.921569,0,0,NO,,,,,,,
17.021277,74.468085,0,4.255319,4.255319,0,NO,,,,,,,
52.083333,37.5,0,8.333333,2.083333,0,NO,,,,,,,
48.837209,37.209302,4.651163,6.976744,2.325581,0,NO,,,,,,,
26,60,10,4,0,0,NO,,,,,,,
45.283019,28.301887,3.773585,3.773585,18.867925,0,NO,,,,,,,
43.137255,52.941176,3.921569,0,0,0,NO,,,,,,,
29.090909,70.909091,0,0,0,0,NO,,,,,,,
26.923077,73.076923,0,0,0,0,NO,,,,,,,
26.785714,73.214286,0,0,0,0,NO,,,,,,,
46.296296,53.703704,0,0,0,0,NO,,,,,,,
48.888889,40,4.444444,0,6.666667,0,NO,,,,,,,
40,46,0,8,6,0,NO,,,,,,,
31.111111,53.333333,0,8.888889,6.666667,0,NO,,,,,,,
34,54,0,8,4,0,NO,,,,,,,
49.019608,47.058824,0,0,3.921569,0,NO,,,,,,,
31.372549,60.784314,0,7.843137,0,0,NO,,,,,,,
28.571429,59.183673,0,12.244898,0,0,NO,,,,,,,
27.45098,64.705882,0,7.843137,0,0,NO,,,,,,,
35.555556,42.222222,6.666667,13.333333,2.222222,0,NO,,,,,,,
23.404255,63.829787,0,0,12.765957,0,NO,,,,,,,
28,68,0,0,4,0,NO,,,,,,,
24.074074,72.222222,0,0,3.703704,0,NO,,,,,,,
31.111111,66.666667,0,0,2.222222,0,NO,,,,,,,
43.75,56.25,0,0,0,0,NO,,,,,,,
25,57.5,0,5,12.5,0,NO,,,,,,,
27.777778,52.777778,0,0,19.444444,0,NO,,,,,,,
19.565217,63.043478,4.347826,8.695652,4.347826,8,NO,,,,,,,
21.95122,46.341463,4.878049,14.634146,12.195122,0,NO,,,,,,,
27.272727,54.545455,0,13.636364,4.545455,0,NO,,,,,,,
26,60,0,14,0,5,NO,,,,,,,
39.534884,44.186047,0,11.627907,4.651163,0,NO,,,,,,,
39.215686,54.901961,0,0,5.882353,0,NO,,,,,,,
25.531915,65.957447,0,4.255319,4.255319,0,NO,,,,,,,
27.659574,68.085106,0,4.255319,0,0,NO,,,,,,,
36.170213,51.06383,0,12.765957,0,0,NO,,,,,,,
28.571429,65.306122,0,0,6.122449,3,NO,,,,,,,
18.604651,67.44186,0,9.302326,4.651163,0,NO,,,,,,,
34,52,0,12,2,0,NO,,,,,,,
43.137255,49.019608,0,3.921569,3.921569,0,NO,,,,,,,
60.869565,39.130435,0,0,0,0,NO,,,,,,,
25.531915,59.574468,0,0,14.893617,0,NO,,,,,,,
23.913043,56.521739,4.347826,13.043478,2.173913,0,NO,,,,,,,
44.680851,40.425532,0,0,14.893617,0,NO,,,,,,,
31.372549,54.901961,0,3.921569,9.803922,3,NO,,,,,,,
0,0,0,0,0,0,NO,,,,,,,
8,0,6,84,2,0,NO,,,,,,,
50,21.73913,0,21.73913,6.521739,3,NO,,,,,,,
40,33.333333,4.444444,17.777778,4.444444,0,NO,,,,,,,
44.444444,42.222222,2.222222,8.888889,2.222222,0,NO,,,,,,,
30.769231,50,0,15.384615,3.846154,0,NO,,,,,,,
24.489796,48.979592,0,22.44898,4.081633,0,NO,,,,,,,
29.166667,50,6.25,10.416667,4.166667,0,NO,,,,,,,
30.434783,58.695652,0,4.347826,6.521739,0,NO,,,,,,,
54.901961,41.176471,0,0,3.921569,0,NO,,,,,,,
54,42,0,4,0,0,NO,,,,,,,
28,60,2,8,2,0,NO,,,,,,,
